Secteur	Catégorie	Activité
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de produits d'horlogerie domestique (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires vestimentaires (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires sportifs (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de vélos et vélos à assistance électriques (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires automobiles (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'accessoires industriels (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'équipements et d'accessoires culinaires (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de literie (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce de trotinnettes et trotinnettes électriques (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	eCommerce (hors dropshipping)	Site de e-commerce d'électroménagers (hors dropshipping) sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de photographies / accessoires photographiques (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de chaussures (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d’objets de décoration intérieure, luminaire et petit mobiliers (hors magasin de meuble et literie) (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d’objets publicitaires sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de matériels audio et vidéo en magasin spécialisé (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de matériels de télécommunication en magasin spécialisé (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'ordinateurs, unités périphériques, et logiciels en magasin (commerce de gros)
